NCT Number,Study Results,Sex,Age,Study Type
NCT00943631,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01307631,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03312231,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01903031,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02257138,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00003838,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00064038,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00084838,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00767338,YES,MALE,ADULT,INTERVENTIONAL
NCT01427738,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00107172,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00088972,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00608972,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00094172,YES,ALL,ADULT,INTERVENTIONAL
NCT02685072,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00056472,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01052272,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03276572,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01349972,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03344172,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01434472,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00689572,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00536172,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00757172,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00290472,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01300572,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00287872,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02037529,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01232829,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00390429,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03321929,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00052429,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02194829,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02742129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03082729,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00723229,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01011829,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00662129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03454529,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02584829,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01481129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00883129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01821729,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01503229,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03459729,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02608229,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04283461,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02867761,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02215161,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02098161,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00483561,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00376961,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03617861,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04448561,YES,ALL,ADULT,INTERVENTIONAL
NCT02255461,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00562861,YES,ALL,ADULT,INTERVENTIONAL
NCT03461861,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01030861,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01303861,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00513461,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00278161,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03701061,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00088829,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00014560,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03043560,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00096460,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00369629,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03617172,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04204772,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01238172,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03219372,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04518410,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04177810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00576472,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00537810,YES,ALL,ADULT,INTERVENTIONAL
NCT00810810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03733210,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00696410,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01707472,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00126672,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02756572,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03421210,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04084210,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01533246,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01515046,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00096161,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02484664,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00923364,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00595764,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01750346,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02509546,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00861146,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00514046,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT04584346,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00027846,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00266110,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02357810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00060346,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00582946,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01612546,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03195010,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01638546,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00004146,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00887510,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00380029,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00183729,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01834729,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00194129,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01442129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00337129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02917629,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00920829,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00490529,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02837029,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00066729,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03870529,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00021229,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00363129,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00393029,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01196429,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00394329,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01005329,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00082329,YES,ALL,ADULT,INTERVENTIONAL
NCT00625729,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01560260,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03050060,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04360551,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00602355,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00773955,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
